"","A","B","C","D","E"
"A",NA,0.0119118366516884,0.00347496000513989,0.00699604082918575,0.00586316367458065
"B",-0.198342767637492,NA,0.00456796870360429,0.00342313967663801,0.00583829972282684
"C",-0.00322285841213622,-0.0284799916261129,NA,0.00843668791724197,0.00830938099808741
"D",-0.0681720356954258,0.00846985018276202,0.00987820203400499,NA,0.00534539735367422
"E",0.00340727579998983,0.0190806544747523,-0.00803564867420053,-0.0823304642705875,NA
