"","A","B","C","D","E"
"A",NA,-0.00678624390476747,0.00140674680178326,-0.00230967132671886,-0.00110156897609605
"B",0.202019523114012,NA,-8.99504726420513e-05,6.06771571467607e-05,-0.00232008238133356
"C",0.00729307820533711,0.0325774562543759,NA,-0.00422612380794781,-0.00491020335984009
"D",0.0740662089936636,-0.00293210492823158,-0.00536293497455945,NA,-0.000100852875925442
"E",0.00425773064749052,-0.011188114232874,0.0161795820220483,0.0904708419809504,NA
